"SOURCE_INVOICE_NUMBER","SOURCE_LINE_NUMBER","ITEM_TYPE","SOURCE_ITEM_TYPE","ITEM_CODE","DESCRIPTION","QUANTITY","UNIT_PRICE","DISCOUNT","TOTAL","VAT_AMOUNT","UNIT","CURRENCY"
II215213,3,parts,M,PAR1101002145,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215213,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215213,5,parts,M,PAR1101002966,"WIPER BLADE 18""",1,2.66,0,2.66,0,PCS,AED
II215213,6,parts,M,PAR1101002967,"WIPER BLADE 24""",1,2.88,0,2.88,0,PCS,AED
II215213,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215213,8,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215214,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215214,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215214,3,parts,M,PAR1104000199,OIL FILTER,1,14.75,0,14.75,0,PCS,AED
II215214,4,parts,M,PAR1101002866,A/C FILTER,1,6.72,0,6.72,0,PCS,AED
II215214,5,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215214,6,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215214,7,parts,M,PAR1101002679,AIR FILTER,1,5.5,0,5.5,0,PCS,AED
II215214,8,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215214,9,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215215,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215215,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215215,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215215,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215215,5,parts,M,PAR1101002966,"WIPER BLADE 18""",1,2.66,0,2.66,0,PCS,AED
II215215,6,parts,M,PAR1101002966,"WIPER BLADE 18""",1,2.88,0,2.88,0,PCS,AED
II215215,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215215,8,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215216,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215216,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215216,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215216,4,parts,M,PAR1101002866,A/C FILTER,1,5.5,0,5.5,0,PCS,AED
II215216,5,parts,M,PAR1101002679,AIR FILTER,1,5.5,0,5.5,0,PCS,AED
II215216,6,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215217,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215217,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215217,3,parts,M,PAR1101003614,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215217,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215217,5,parts,M,PAR1101003537,RR BRAKE DISC,2,43,0,86,0,PCS,AED
II215217,6,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215217,7,service,L,M00003,RR BRAKE PAD & DISC REPLACE,1,95,0,95,0,HRS,AED
II215218,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215218,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215218,3,parts,M,PAR1101003614,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215218,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215219,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215219,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215219,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215219,4,parts,M,PAR1101001534,FRONT BRAKE PAD,1,29.9,0,29.9,0,PCS,AED
II215219,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215219,6,service,L,M03001,R/R FRONT BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215220,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215220,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215220,3,parts,M,PAR1101002145,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215220,4,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215220,5,parts,M,PAR1101001301,ALTERNATOR BELT,1,29.411,0,29.41,0,PCS,AED
II215220,6,parts,M,PAR1101002966,"WIPER BLADE 18""",1,2.66,0,2.66,0,PCS,AED
II215220,7,parts,M,PAR1101002967,"WIPER BLADE 24""",1,2.88,0,2.88,0,PCS,AED
II215220,8,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215220,9,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215220,10,service,L,M01019,DRIVE BELT R/R,1,95,0,95,0,HRS,AED
II215220,11,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215221,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215221,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215221,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215221,4,parts,M,PAR1101002866,A/C FILTER,1,5.5,0,5.5,0,PCS,AED
II215221,5,parts,M,PAR1101002679,AIR FILTER,1,5.5,0,5.5,0,PCS,AED
II215221,6,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215221,7,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215221,8,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215221,9,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215222,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215222,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215222,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215222,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215223,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215223,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215223,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215223,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215223,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215223,6,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215224,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215224,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215224,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215224,4,parts,M,PAR1101001534,FRONT BRAKE PAD,1,29.9,0,29.9,0,PCS,AED
II215224,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215224,6,service,L,M03001,R/R FRONT BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215225,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215225,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215225,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215225,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215226,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215226,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215226,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215226,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215226,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215226,6,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215227,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215227,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215227,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215227,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215228,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215228,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215228,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215228,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215229,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215229,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215229,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215229,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215229,5,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215229,6,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215229,7,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215230,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215230,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215230,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215230,4,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215230,5,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215230,6,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215230,7,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215231,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,95,0,142.5,0,HRS,AED
II215231,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,0,LTR,AED
II215231,3,parts,M,PAR1102000651,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215231,4,parts,M,PAR1102000583,FRONT BRAKE PAD,1,29.9,0,29.9,0,PCS,AED
II215231,5,parts,M,PAR1101002866,A/C FILTER,1,5.5,0,5.5,0,PCS,AED
II215231,6,parts,M,PAR1102000220,AIR FILTER INNOVA,1,9.45,0,9.45,0,PCS,AED
II215231,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215231,8,service,L,M03001,R/R FRONT BRAKE PAD,1,95,0,95,0,HRS,AED
II215232,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,95,0,142.5,0,HRS,AED
II215232,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
II215232,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215232,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215233,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215233,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215233,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215233,4,parts,M,PAR9999001815,PARKING BULB 2825-OSRAM,1,1.155,0,1.16,0,PCS,AED
II215233,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215234,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215234,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215234,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215234,4,parts,M,PAR1101002866,A/C FILTER,1,5.5,0,5.5,0,PCS,AED
II215234,5,parts,M,PAR1101002679,AIR FILTER,1,5.5,0,5.5,0,PCS,AED
II215234,6,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,4,225,0,900,0,PCS,AED
II215234,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215235,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215235,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215235,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215235,4,parts,M,PAR1101000997,BRAKE PAD REAR,2,20.874,0,41.74,0,PCS,AED
II215235,5,service,R,PAR1101000997,BRAKE PAD REAR,2,-20.874,0,-41.74,0,PCS,AED
II215235,6,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215235,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215235,8,service,L,M00003,WRONG CODE,0,95,0,0,0,HRS,AED
II215236,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215236,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215236,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215236,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215237,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215237,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215237,3,parts,M,PAR1101003614,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215237,4,parts,M,PAR1101001534,FRONT BRAKE PAD,1,29.9,0,29.9,0,PCS,AED
II215237,5,parts,M,PAR1101000997,BRAKE PAD REAR,1,27.6,0,27.6,0,PCS,AED
II215237,6,parts,M,PAR1101003537,RR BRAKE DISC,2,43,0,86,0,PCS,AED
II215237,7,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215237,8,service,L,M03001,R/R FRONT BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215237,9,service,L,M00003,RR BRAKE PAD & DISC REPLACE,1,95,0,95,0,HRS,AED
II215238,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215238,2,parts,M,PAR1101002649,ALTERNATOR BELT,1,16.8,0,16.8,0,PCS,AED
II215238,3,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215238,4,parts,M,PAR1101003614,OIL FILTER,1,6.72,0,6.72,0,PCS,AED
II215238,5,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215238,6,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215238,7,service,L,M01019,DRIVE BELT R/R,1,95,0,95,0,HRS,AED
II215239,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
II215239,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,0,69.33,0,LTR,AED
II215239,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
II215239,4,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
II215240,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215240,2,parts,M,PAR1153000046,"FILTER,HV BATTERY",1,18,0,18,0,PCS,AED
II215241,1,service,L,M00000,FRONT RHS/LHS WHEEL BEARING R/R,3,95,0,285,0,HRS,AED
II215241,2,parts,M,PAR1101003616,FT WHEEL HUB & BEARING,2,98.7,0,197.4,0,PCS,AED
II215242,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215242,2,parts,M,BAT1101000750,"57412 12V 74AH 600A CCA EPC BATTERY",1,270,0,270,0,PCS,AED
II215242,3,parts,M,PAR1101001598,ALTERNATOR PULLY,1,42,0,42,0,PCS,AED
II215242,4,parts,M,PAR9999001303,HOLDER ASSY,1,45,0,45,0,PCS,AED
II215242,5,service,L,M11002,ALTERNATOR ASSEMBLY R/O,2.5,95,0,237.5,0,HRS,AED
II215243,1,service,L,M01009,O/CLEAN THROTTLE BODY,1,95,0,95,0,HRS,AED
II215243,2,parts,M,PAR1101001489,SPARK PLUG,4,63,0,252,0,PCS,AED
II215243,3,parts,M,PAR9999005921,A/C DELCO CARBURETOR CLANER,1,26.25,0,26.25,0,PCS,AED
II215243,4,service,L,M01006,R/R SPARK PLUGS,1,95,0,95,0,HRS,AED
II215244,1,service,L,M01028,OXYGEN SENSOR R/R,1.5,95,0,142.5,0,HRS,AED
II215244,2,parts,M,PAR1101003588,OXYGEN SENSOR,1,190.4,0,190.4,0,NOS,AED
II215245,1,service,L,M01028,OXYGEN SENSOR R/R,1.5,95,0,142.5,0,HRS,AED
II215245,2,parts,M,PAR1101002743,OXYGEN SENSOR,1,389.151,0,389.15,0,PCS,AED
II215246,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215246,2,parts,M,BAT1101000750,"57412 12V 74AH 600A CCA EPC BATTERY",1,270,0,270,0,PCS,AED
II215247,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215247,2,parts,M,BAT1101000749,"55559 BATTERY DIN55 SBK",1,215,0,215,0,PCS,AED
II215248,1,service,L,M11023,HEADLIGHT ASSEMBLY RHS R/R,0.5,95,0,47.5,0,HRS,AED
II215248,2,parts,M,PAR1101000672,HEADLAMP RH,1,294,0,294,0,PCS,AED
II215249,1,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215250,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215250,2,parts,M,BAT1101000750,"57412 12V 74AH 600A CCA EPC BATTERY",1,270,0,270,0,PCS,AED
II215250,3,parts,M,PAR1101001598,ALTERNATOR PULLY,1,42,0,42,0,PCS,AED
II215250,4,parts,M,PAR9999001303,HOLDER ASSY,1,45,0,45,0,PCS,AED
II215250,5,service,L,M11002,ALTERNATOR ASSEMBLY R/O,2.5,95,0,237.5,0,HRS,AED
II215251,1,service,L,M08001,R/R RADIATOR ASSY,1.5,95,0,142.5,0,HRS,AED
II215251,2,parts,M,PAR1101003644,RADIATOR ASSY,1,204.75,0,204.75,0,PCS,AED
II215251,3,parts,M,PAR1101001331,COOLANT ACDELCO (RED),1,22,0,22,0,PCS,AED
II215251,4,parts,M,PAR9999001301,RADIATOR CAP,1,35.154,0,35.15,0,PCS,AED
II215251,5,parts,M,PAR1109000077,"HOUSING SUB-ASSY, WATER INLET W/WATER PUMP",1,352.16,0,352.16,0,PCS,AED
II215251,6,service,L,M08004,R/R WATER PUMP,2.5,95,0,237.5,0,HRS,AED
II215252,1,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,4,225,0,900,0,PCS,AED
II215253,1,service,L,M00000,FRONT RHS SHOCK AND MOUNTING R/R,1.5,95,0,142.5,0,HRS,AED
II215253,2,parts,M,PAR1101003045,"MOUNT,FT SHOCK",1,74.5,0,74.5,0,PCS,AED
II215253,3,parts,M,PAR1101002916,FRONT RH SHOCK ABSORBER,1,69.773,0,69.77,0,PCS,AED
II215253,4,parts,M,PAR1101002182,RH ENGINE MOUNTING,1,161.45,0,161.45,0,PCS,AED
II215253,5,service,L,M01003,R/R RHS ENGINE MOUNTING,1.5,95,0,142.5,0,HRS,AED
II215253,6,service,L,M00003,FRONT BUMPER FIX,0.5,95,0,47.5,0,HRS,AED
II215254,1,service,L,T00001,"2 OLD TYRE R/R",0.3,100,0,30,0,HRS,AED
II215255,1,service,L,T00001,"2 OLD TYRE R/R",0.3,100,0,30,0,HRS,AED
II215256,1,service,L,M00000,A/C WINDOW REPAIR R/R,1,95,0,95,0,HRS,AED
II215257,1,service,L,M00000,FRONT RHS/LHS WHEEL BEARING R/R,3,95,0,285,0,HRS,AED
II215257,2,parts,M,PAR1101003616,FT WHEEL HUB & BEARING,2,98.7,0,197.4,0,PCS,AED
II215257,3,parts,M,PAR1101003045,"MOUNT,FT SHOCK",1,74.5,0,74.5,0,PCS,AED
II215257,4,parts,M,PAR9999005921,A/C DELCO CARBURETOR CLANER,1,26.25,0,26.25,0,PCS,AED
II215257,5,parts,M,PAR1101002916,FRONT RH SHOCK ABSORBER,1,69.773,0,69.77,0,PCS,AED
II215257,6,parts,M,PAR1101002033,FRONT LOWER ARM BUSH,1,14.553,0,14.55,0,PCS,AED
II215257,7,service,L,M01009,O/CLEAN THROTTLE BODY,1,95,0,95,0,HRS,AED
II215257,8,service,L,M00005,FRONT RHS SHOCK AND SHOCK MOUNTING R/R,1.5,95,0,142.5,0,HRS,AED
II215257,9,service,L,M04014,R/R FRONT RHS LOWER ARM BUSH,2.5,95,0,237.5,0,HRS,AED
II215258,1,service,L,M01028,OXYGEN SENSOR R/R,1.5,95,0,142.5,0,HRS,AED
II215258,2,parts,M,PAR1101002743,OXYGEN SENSOR,1,389.151,0,389.15,0,PCS,AED
II215259,1,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,0,450,0,PCS,AED
II215260,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215260,2,parts,M,BAT1101000750,"57412 12V 74AH 600A CCA EPC BATTERY",1,270,0,270,0,PCS,AED
II215261,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215261,2,parts,M,BAT1102000004,CMF-56219-SEBANG BATTERY 62AH,1,220,0,220,0,PCS,AED
II215262,1,service,L,M00000,FRONT RHS/LHS WHEEL BEARING R/R,3,95,0,285,0,HRS,AED
II215262,2,parts,M,PAR1101003616,FT WHEEL HUB & BEARING,2,98.7,0,197.4,0,PCS,AED
II215263,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
II215263,2,parts,M,BAT1102000004,CMF-56219-SEBANG BATTERY 62AH,1,220,0,220,0,PCS,AED
II215264,1,service,L,M00000,COOLANT LEAK REPAIR,0.5,95,0,47.5,0,HRS,AED
II215265,1,service,L,M04024,LUBRICATED SUSPENSION UNDERNEATH,1,95,0,95,0,HRS,AED
II215265,2,parts,M,PAR1101003045,"MOUNT,FT SHOCK",1,74.5,0,74.5,0,PCS,AED
II215265,3,parts,M,PAR1101003616,FT WHEEL HUB & BEARING,1,98.7,0,98.7,0,PCS,AED
II215265,4,service,L,M04006,R/R FRONT LHS SHOCK MOUNTING,1.5,95,0,142.5,0,HRS,AED
II215265,5,service,L,M05001,R/R FRONT RHS WHEEL BEARING,1.5,95,0,142.5,0,HRS,AED
II215266,1,service,L,M08004,R/R WATER PUMP,2.5,95,0,237.5,0,HRS,AED
II215266,2,parts,M,PAR1101002182,RH ENGINE MOUNTING,1,161.45,0,161.45,0,PCS,AED
II215266,3,parts,M,PAR1101003616,FT WHEEL HUB & BEARING,1,98.7,0,98.7,0,PCS,AED
II215266,4,parts,M,PAR1101001754,LH AXLE SEAL,1,30.45,0,30.45,0,PCS,AED
II215266,5,parts,M,PAR1101001081,"WATER PUMP, CAMRY",1,115.5,0,115.5,0,PCS,AED
II215266,6,parts,M,PAR1101002725,GASKET WATER PUMP,1,9.398,0,9.4,0,PCS,AED
II215266,7,parts,M,PAR1101001331,COOLANT ACDELCO (RED),1,22,0,22,0,PCS,AED
II215266,8,service,L,M01003,R/R RHS ENGINE MOUNTING,1.5,95,0,142.5,0,HRS,AED
II215266,9,service,L,M05001,R/R FRONT RHS WHEEL BEARING,1.5,95,0,142.5,0,HRS,AED
II215266,10,service,L,M00000,SILENCER REMOVE AND REPAIR,1,95,0,95,0,HRS,AED
II215267,1,service,L,M10002,R/R AC CONDENSOR,1.5,95,0,142.5,0,HRS,AED
II215267,2,parts,M,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1100,0,1100,0,PCS,AED
II215267,3,parts,M,PAR1101000367,AC CONDENSOR ASSY,1,207.806,0,207.81,0,PCS,AED
II215267,4,parts,M,PAR9999001410,CONDENSOR PIPING CLAMP,1,18.953,0,18.95,0,PCS,AED
II215267,5,parts,M,PAR1101000381,EXPANSION VALVE,1,52.458,0,52.46,0,PCS,AED
II215267,6,service,C,"9999",AC GAS,0.5,65,0,32.5,0,NOS,AED
II215267,7,service,C,"9999",CLEANING GAS,2,25,0,50,0,NOS,AED
II215267,8,service,L,M10001,R/R AC COMPRESSOR,2,95,0,190,0,HRS,AED
II215267,9,service,L,M10019,AC SYSTEM CLEANING,1,95,0,95,0,HRS,AED
II215267,10,service,L,M10003,R/R AC EXPANSION VALVE,1,95,0,95,0,HRS,AED
II215267,11,service,L,M10008,AC GAS AND OIL CHARGING,1.92,95,0,182.4,0,HRS,AED
II215268,1,service,L,M03001,R/R FRONT BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
II215268,2,parts,M,PAR1101003537,RR BRAKE DISC,2,47,0,94,0,PCS,AED
