"SOURCE_JOB_NUMBER","SOURCE_LINE_NUMBER","ITEM_CODE","NAME","QUANTITY","UNIT_PRICE","SOURCE_TYPE"
JCI17931,9,PAR1101002967,"WIPER BLADE 24""",1,2.88,Part
JCI17931,10,"9999",CONSUMABLES,1,10,Consumable
JCI17931,11,M00003,FRT & RR BRAKE PAD REPLACE,1,95,Labor
JCI17932,1,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17933,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17933,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17933,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17933,4,"9999",CONSUMABLES,1,10,Consumable
JCI17934,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17934,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17934,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17934,4,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI17934,5,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17934,6,"9999",CONSUMABLES,1,10,Consumable
JCI17934,7,M02001,R/R ATF,0.5,95,Labor
JCI17934,8,M03001,R/R FRONT BRAKE PAD,0.5,95,Labor
JCI17935,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17935,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17935,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17935,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17935,5,"9999",CONSUMABLES,1,10,Consumable
JCI17935,6,M03001,R/R FRONT BRAKE PAD,0.5,95,Labor
JCI17936,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17936,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17936,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17936,4,"9999",CONSUMABLES,1,10,Consumable
JCI17937,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17937,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17937,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17937,4,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI17937,5,PAR1101002649,ALTERNATOR BELT,1,16.8,Part
JCI17937,6,PAR1101002948,TENSIONER ASSY,1,85.313,Part
JCI17937,7,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17937,8,PAR1101002966,"WIPER BLADE 18""",1,2.66,Part
JCI17937,9,PAR1101002967,"WIPER BLADE 24""",1,2.88,Part
JCI17937,10,M02001,R/R ATF,0.5,95,Labor
JCI17937,11,M01019,DRIVE BELT R/R,1,95,Labor
JCI17937,12,M01012,BELT TENSIONER ASSEMBLY R/R,1.5,95,Labor
JCI17938,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17938,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17938,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17938,4,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI17938,5,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17938,6,"9999",CONSUMABLES,1,10,Consumable
JCI17938,7,M02001,R/R ATF,0.5,95,Labor
JCI17938,8,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17939,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17939,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17939,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17939,4,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17939,5,"9999",CONSUMABLES,1,10,Consumable
JCI17939,6,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17940,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17940,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17940,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17940,4,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17940,5,"9999",CONSUMABLES,1,10,Consumable
